STATEFP, COUNTYFP, TLID, TFIDL, TFIDR, MTFCC, FULLNAME, SMID, LFROMADD, LTOADD, RFROMADD, RTOADD, ZIPL, ZIPR, FEATCAT, HYDROFLG, RAILFLG, ROADFLG, OLFFLG, PASSFLG, EXTTYP, TTYP, DECKEDROAD, ARTPATH, PERSIST, GCSEFLG, OFFSETL, OFFSETR, TNIDF, TNIDT
78, 010, 635720150, 206182166, 258451073, L4150, Caribbean, , , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 423310301, 99124066
78, 010, 635903895, 265955342, 265953042, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423313793, 99124074
78, 010, 647870911, 265956746, 258745147, L4150, Caribbean, 7078, , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 423313791, 99123846
78, 010, 648373734, 265954704, 266201989, L4150, Caribbean, 7078, , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 426809064, 99124081
78, 010, 631919221, 265955416, 265955416, K2432, , , , , , , , , , N, N, N, Y, , N, , , N, , N, N, N, 99127924, 421501234
78, 010, 631811611, 206183317, 258747000, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99126516, 99126517
78, 010, 631919274, 265956967, 265956967, K2432, , , , , , , , , , N, N, N, Y, , N, , , N, , N, N, N, 421501254, 421501255
78, 010, 631987880, 265956540, 265956540, K2432, , , , , , , , , , N, N, N, Y, , N, , , N, , N, N, N, 421570902, 421570908
78, 010, 631750300, 265956540, 261639634, L4150, Caribbean, , , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 99123592, 421392359
78, 010, 641756837, 265956540, 265950714, L4150, Caribbean, , , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 425077301, 421570895
78, 010, 635904069, 265953042, 258745247, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423313853, 423313854
78, 010, 643812392, 258745624, 258452362, L4150, Caribbean, , , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 423314129, 423312636
78, 010, 635903913, 265953042, 265954589, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423313799, 421394082
78, 010, 204607097, 257269917, 258745628, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99123598, 99123599
78, 010, 634186904, 258745201, 265953042, L4150, Caribbean, , , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 421404789, 422660662
78, 010, 647869687, 265952723, 265953042, L4150, Caribbean, , , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 423313818, 423313835
78, 010, 635904032, 265952723, 258745229, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423313840, 423313817
78, 010, 634187259, 258745612, 265952525, L4150, Caribbean, , , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 422660838, 421392381
78, 010, 631939837, 265958394, 265958394, K2432, , , , , , , , , , N, N, N, Y, , N, , , N, , N, N, N, 421540122, 421540123
78, 010, 641766638, 265958394, 265958394, K2432, , , , , , , , , , N, N, N, Y, , N, , , N, , N, N, N, 425081136, 425081137
78, 010, 631939846, 265958394, 265958394, K2432, , , , , , , , , , N, N, N, Y, , N, , , N, , N, N, N, 421540127, 421540128
78, 010, 635903985, 258745203, 265953042, L4150, Caribbean, , , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 422660732, 423313823
78, 010, 631790344, 265958227, 265958227, K2432, , , , , , , , , , N, N, N, Y, , N, , , N, , N, N, N, 421415060, 421415059
78, 010, 647869960, 265958227, 265953814, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423313829, 423313831
78, 010, 635904033, 258745230, 258745229, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423313839, 423313840
78, 010, 647869130, 265957110, 265951274, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423313937, 423313872
78, 010, 635904119, 258745367, 258745275, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423313870, 99124424
78, 010, 647873586, 265958314, 265956500, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423314062, 99122946
78, 010, 635904772, 258745615, 258745612, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423314122, 423314121
78, 010, 647869776, 265958156, 265952723, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423313840, 423313848
78, 010, 635904031, 265958156, 258745230, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99126517, 423313840
78, 010, 631919003, 265958156, 265958156, K2432, , , , , , , , , , N, N, N, Y, , N, , , N, , N, N, N, 421501139, 421501140
78, 010, 204611882, 266200281, 266200281, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99127089, 407130641
78, 010, 204611893, 261649689, 266200429, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99127098, 99127096
78, 010, 204611811, 258453070, 258450648, S1200, Usvi Hwy 62, , , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99127032, 99127015
78, 010, 635723238, 258453070, 258453073, S1500, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 423311376, 423311374
78, 010, 204613516, 206181247, 258453065, P0002, , 7078, , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99128165, 99128169
78, 010, 652834323, 267926467, 267926507, P0002, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 428423986, 99128178
78, 010, 616384625, 258746775, 258746775, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 408456242, 408456270
78, 010, 204611706, 206181754, 266199964, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99126945, 99126973
